lat,lon,SST_avg,SSS_avg
-38.5,162.5,2.1095,-0.265357142857143
-38.5,163.5,2.07614285714286,-0.268857142857143
-38.5,164.5,2.04571428571429,-0.270857142857143
-38.5,165.5,2.025,-0.267428571428571
-38.5,166.5,2.00328571428571,-0.264571428571429
-38.5,167.5,1.97771428571429,-0.267
-38.5,168.5,1.94478571428571,-0.264928571428571
-38.5,169.5,1.90664285714286,-0.259214285714286
-38.5,181.5,2.05878571428571,-0.256857142857143
-38.5,182.5,2.04242857142857,-0.239285714285714
-38.5,183.5,2.10164285714286,-0.2265
-38.5,184.5,2.13221428571429,-0.221142857142857
-38.5,185.5,2.13957142857143,-0.212928571428571
-38.5,186.5,2.13871428571429,-0.202785714285714
-38.5,187.5,2.14314285714286,-0.1935
-38.5,188.5,2.13357142857143,-0.185857142857143
-38.5,189.5,2.12371428571429,-0.176142857142857
-38.5,190.5,2.111,-0.168571428571429
-38.5,191.5,2.09957142857143,-0.164071428571429
-38.5,192.5,2.09185714285714,-0.160071428571429
-38.5,193.5,2.08357142857143,-0.157142857142857
-38.5,194.5,2.07678571428571,-0.1555
-38.5,195.5,2.07121428571429,-0.155214285714286
-38.5,196.5,2.06621428571429,-0.155357142857143
-38.5,197.5,2.06378571428571,-0.155928571428571
-38.5,198.5,2.06892857142857,-0.155642857142857
-38.5,199.5,2.07292857142857,-0.155714285714286
-38.5,200.5,2.07242857142857,-0.155428571428571
-38.5,201.5,2.07,-0.154714285714286
-38.5,202.5,2.06814285714286,-0.154214285714286
-38.5,203.5,2.065,-0.152928571428571
-38.5,204.5,2.061,-0.1525
-38.5,205.5,2.05271428571429,-0.152714285714286
-38.5,206.5,2.04171428571429,-0.152857142857143
-38.5,207.5,2.0335,-0.153571428571429
-38.5,208.5,2.03007142857143,-0.155642857142857
-38.5,209.5,2.02714285714286,-0.157142857142857
-38.5,210.5,2.02428571428571,-0.158714285714286
-38.5,211.5,2.02157142857143,-0.160285714285714
-38.5,212.5,2.02,-0.162214285714286
-38.5,213.5,2.01721428571429,-0.164071428571429
-38.5,214.5,2.01357142857143,-0.166285714285714
-38.5,215.5,2.00985714285714,-0.168142857142857
-38.5,216.5,2.00678571428571,-0.169785714285714
-38.5,217.5,2.00428571428571,-0.171428571428571
-38.5,218.5,2.00264285714286,-0.173142857142857
-38.5,219.5,2.00235714285714,-0.174285714285714
-38.5,220.5,2.00171428571429,-0.175142857142857
-38.5,221.5,2.00121428571429,-0.176071428571429
-38.5,222.5,2,-0.176785714285714
-38.5,223.5,2,-0.1765
-38.5,224.5,1.99978571428571,-0.176428571428571
-38.5,225.5,1.99878571428571,-0.176
-38.5,226.5,1.99735714285714,-0.175071428571429
-38.5,227.5,1.99721428571429,-0.174142857142857
-38.5,228.5,1.99671428571429,-0.173928571428571
-38.5,229.5,1.99642857142857,-0.173785714285714
-38.5,230.5,1.996,-0.173214285714286
